degree,specialization,academic_score,marks_10th,marks_12th,skills,experience_years,role
BBA,Communications,8.81,92.3,76.9,"Digital Marketing, Social Media, Copywriting, Google Analytics, Content Strategy",12,Marketing Specialist
M.Com,Economics,8.86,84.4,66.6,"Financial Modeling, Accounting, Valuation",11,Financial Analyst
B.Tech,Marketing,8.26,63.5,84.6,"Roadmapping, Agile, Jira, Market Research, Scrum, Stakeholder Management, Product Strategy",1,Product Manager
B.Com,Economics,6.63,78.1,67.0,"Valuation, Data Analysis, Excel, Accounting, Bloomberg",6,Financial Analyst
M.Tech,Civil,9.33,62.9,69.0,"ETABS, STAAD Pro, Steel Design, Structural Analysis",4,Structural Engineer
MBA,Civil,9.2,91.6,81.9,"Primavera P6, Cost Estimation, MS Project, Contract Management",13,Construction Manager
MBA,Human Resources,8.16,91.3,81.3,"Talent Acquisition, Onboarding, Communication",12,HR Manager
B.Tech,Civil,8.51,80.3,60.5,"Quality Control, Surveying, Health & Safety, AutoCAD, Site Management",6,Site Engineer
BCA,Information Technology,6.32,94.4,71.4,"TypeScript, Next.js, Tailwind",8,Frontend Developer
BBA,Business Administration,8.93,73.2,63.3,"Communication, Talent Acquisition, Employee Relations",1,HR Manager
BA,Mathematics,8.97,86.1,66.1,"SPSS, Report Writing, Data Analysis",11,Research Analyst
M.Tech,AI,8.61,72.9,96.8,"C#, Data Structures, C++, Git, System Design, Python, Java",11,Software Engineer
M.Sc,Data Science,8.98,68.9,69.1,"Scikit-Learn, SQL, Statistics, Pandas, Deep Learning, NLP",13,Data Scientist
B.Tech,Statistics,9.08,86.3,62.1,"Data Visualization, Python, Excel, Statistics, SQL",11,Data Analyst
B.Sc,Economics,6.16,67.9,85.9,"Market Research, SPSS, Research, Data Analysis, Excel, Report Writing",3,Research Analyst
BCA,Computer Science,7.34,61.9,78.8,"Angular, JavaScript, Vue",2,Frontend Developer
B.Sc,Information Technology,7.63,92.3,67.8,"Wireframing, User Testing, UI/UX, Adobe XD, Figma",12,UX Designer
B.Sc,CS,6.53,70.6,76.2,"User Testing, Wireframing, UI/UX, Prototyping, Figma, Design Systems",0,UX Designer
M.Tech,Civil,8.58,97.2,70.2,"ETABS, Steel Design, STAAD Pro",9,Structural Engineer
B.Tech,Business Administration,6.69,89.0,77.2,"Roadmapping, Agile, Jira, Scrum",7,Product Manager
MBA,Computer Science,7.28,83.4,93.9,"Jira, Product Strategy, Roadmapping, Agile, Scrum",6,Product Manager
M.Tech,Civil Engineering,6.47,60.3,69.0,"STAAD Pro, Surveying, Project Management, AutoCAD, Construction Materials, Estimation",11,Civil Engineer
MBA,Human Resources,9.19,80.9,80.0,"Recruiting, Onboarding, Talent Acquisition, Employee Relations, Communication",14,HR Manager
BCA,AI,7.51,86.2,62.3,"Go, Data Structures, Git, C#, System Design, Algorithms, Java",4,Software Engineer
B.Tech,Civil,7.25,81.0,67.2,"Structural Analysis, STAAD Pro, ETABS, AutoCAD, Steel Design",1,Structural Engineer
B.Tech,Design,7.22,61.2,82.8,"Tailwind, JavaScript, Angular, CSS",6,Frontend Developer
BA,Human Resources,9.11,90.4,64.8,"Employee Relations, Communication, Onboarding, Recruiting, Talent Acquisition",9,HR Manager
M.Com,Finance,8.12,74.6,94.7,"Finance, Accounting, GST",2,Accountant
B.Sc,Information Technology,7.71,71.4,84.8,"Prototyping, User Testing, Adobe XD, UI/UX, Design Systems, Figma",0,UX Designer
B.Com,Finance,7.07,77.0,96.7,"Finance, Advanced Excel, GST, Taxation, Accounting, Tally, Auditing",2,Accountant
B.Com,Finance,6.76,67.8,92.1,"Excel, Process Improvement, Data Visualization, SQL, Tableau",12,Business Analyst
Diploma,Civil,7.23,72.9,61.6,"Site Management, AutoCAD, Quality Control, Health & Safety, Surveying",12,Site Engineer
MCA,Information Technology,9.51,94.5,90.8,"Python, MongoDB, FastAPI, REST APIs, PostgreSQL, Django, Java",4,Backend Developer
BCA,AI,8.61,78.1,79.1,"Python, Java, Data Structures, Go",9,Software Engineer
M.Sc,Economics,8.97,72.5,89.8,"R, Economic Research, Data Analysis, Econometrics, Stata, Statistics, SAS",12,Economist
B.Tech,Computer Science,8.91,97.4,97.2,"SQL, FastAPI, Node.js, MongoDB, PostgreSQL, GraphQL",8,Backend Developer
B.Tech,Civil,9.34,62.2,89.6,"Quality Control, Health & Safety, Site Management, Surveying",12,Site Engineer
B.Com,Economics,8.54,72.9,83.6,"Digital Marketing, Google Analytics, SEO, Social Media, Content Strategy, Copywriting",0,Marketing Specialist
MCA,Computer Science,7.48,72.2,75.7,"Terraform, AWS, Kubernetes",5,DevOps Engineer
MBA,Civil Engineering,9.78,63.3,63.9,"Project Management, Contract Management, Primavera P6",9,Construction Manager
MCA,Computer Science,9.24,66.2,89.6,"Kubernetes, Docker, Terraform, CI/CD, AWS, Jenkins",11,DevOps Engineer
B.Tech,Construction Management,6.45,88.0,76.2,"MS Project, Contract Management, Primavera P6, Cost Estimation, Project Management",1,Construction Manager
B.Tech,Construction,8.23,66.9,77.0,"Surveying, Quality Control, Health & Safety, Site Management",11,Site Engineer
MBA,Finance,9.12,94.2,73.4,"Market Research, Excel, SQL, Process Improvement, Tableau",13,Business Analyst
B.Tech,Computer Science,6.22,80.7,89.0,"Data Visualization, SQL, Excel",11,Data Analyst
M.Sc,Mathematics,8.94,85.4,69.2,"Research, Excel, Report Writing, Data Analysis",9,Research Analyst
MBA,Economics,9.57,88.3,91.5,"Excel, Valuation, Financial Modeling, Accounting, Data Analysis, Bloomberg",8,Financial Analyst
MBA,Business Administration,8.53,86.8,85.6,"Communication, Onboarding, Recruiting",11,HR Manager
B.Sc,Economics,9.49,80.4,76.6,"R, Statistics, Economic Research, Data Analysis, Stata, SAS",10,Economist
M.Tech,Civil,6.9,73.9,87.3,"Surveying, Project Management, AutoCAD, Construction Materials, Estimation, STAAD Pro",11,Civil Engineer
MCA,Information Technology,9.0,68.4,86.6,"Git, Java, Rust, Go, C#, System Design, Python, Data Structures",6,Software Engineer
MBA,Construction Management,7.03,96.7,84.1,"Contract Management, MS Project, Project Management, Cost Estimation, Primavera P6",2,Construction Manager
M.Com,Economics,8.09,76.2,60.8,"Excel, Accounting, Bloomberg, Valuation, Financial Modeling, Data Analysis",15,Financial Analyst
MBA,Accounting,7.45,60.0,71.4,"GST, Taxation, Advanced Excel, Auditing",1,Accountant
Diploma,Computer Science,7.88,77.5,91.0,"React, TypeScript, JavaScript, CSS, Next.js, HTML",2,Frontend Developer
B.Tech,Information Technology,6.65,73.1,93.7,"AWS, CI/CD, Terraform, Linux",9,DevOps Engineer
M.Sc,Data Science,7.51,67.2,64.6,"Machine Learning, Scikit-Learn, TensorFlow, NumPy, Python",2,Data Scientist
BA,Maths,8.5,81.8,92.5,"Curriculum Development, Communication, Mentoring, Lesson Planning, Public Speaking",7,Teaching Professional
B.Tech,Civil,7.69,70.1,70.2,"AutoCAD, Site Management, Surveying, Health & Safety, Quality Control",12,Site Engineer
Diploma,Mechanical,9.27,67.8,76.1,"Ansys, Manufacturing, SolidWorks, CAD/CAM, AutoCAD",7,Mechanical Engineer
B.Sc,Mathematics,8.8,63.0,92.9,"Python, SQL, Statistics",3,Data Analyst
B.Com,Finance,8.53,95.9,91.4,"GST, Tally, Auditing, Accounting, Taxation, Finance, Advanced Excel",7,Accountant
B.Tech,Civil Engineering,6.46,93.3,87.9,"MS Project, Cost Estimation, Primavera P6, Project Management, Contract Management",4,Construction Manager
Diploma,Civil Engineering,6.48,66.7,70.9,"Project Management, STAAD Pro, Surveying",0,Civil Engineer
MCA,Computer Science,9.33,95.8,71.7,"FastAPI, REST APIs, Docker, Node.js",11,Backend Developer
B.Tech,Construction,7.15,80.6,78.7,"Quality Control, Site Management, Health & Safety, Surveying, AutoCAD",6,Site Engineer
B.Tech,Civil,8.17,74.0,96.2,"Cost Estimation, Primavera P6, Project Management, MS Project",9,Construction Manager
BA,Business Administration,9.61,96.8,82.2,"Recruiting, Communication, Employee Relations, Talent Acquisition",4,HR Manager
M.Sc,Artificial Intelligence,7.73,97.7,76.3,"Python, NLP, Machine Learning, Statistics, NumPy, Deep Learning, TensorFlow, SQL",15,Data Scientist
MBA,Finance,6.25,77.2,61.2,"Data Analysis, Bloomberg, Excel",10,Financial Analyst
BA,Economics,6.86,92.9,65.9,"Data Analysis, Econometrics, Stata, Statistics, SAS, Economic Research",12,Economist
B.Tech,Computer Science,7.25,97.0,85.4,"GraphQL, MongoDB, Node.js, SQL, PostgreSQL, Java, FastAPI, REST APIs",8,Backend Developer
B.Tech,Civil,6.32,89.9,86.2,"Construction Materials, STAAD Pro, Project Management",3,Civil Engineer
B.Sc,Maths,6.95,84.4,71.7,"Python, Statistics, Power BI",12,Data Analyst
M.Tech,Computer Science,6.07,71.9,65.8,"Python, NumPy, Machine Learning, SQL",4,Data Scientist
BA,Mathematics,6.02,91.5,90.9,"SPSS, Research, Excel",6,Research Analyst
B.Tech,Business Administration,6.69,74.5,97.0,"Excel, Market Research, Data Visualization, SQL",8,Business Analyst
M.Sc,Economics,8.47,94.3,97.9,"R, Econometrics, SAS, Economic Research",11,Economist
BCA,Computer Science,7.81,74.5,69.9,"Power BI, Data Visualization, Excel, Statistics",2,Data Analyst
M.Com,Economics,9.68,76.8,94.0,"Financial Modeling, Accounting, Data Analysis, Excel, Valuation",11,Financial Analyst
MA,Maths,6.94,91.7,78.9,"Public Speaking, Communication, Mentoring, Lesson Planning, Curriculum Development",8,Teaching Professional
B.Sc,Education,8.35,76.7,74.7,"Public Speaking, Lesson Planning, Mentoring",3,Teaching Professional
M.Tech,Civil Engineering,6.43,80.2,81.1,"AutoCAD, Construction Materials, Estimation, Surveying, Project Management",4,Civil Engineer
M.Com,Economics,8.39,98.0,66.0,"Valuation, Accounting, Excel, Data Analysis, Bloomberg, Financial Modeling",6,Financial Analyst
BBA,Finance,7.0,76.1,82.9,"Financial Modeling, Data Analysis, Bloomberg, Valuation, Excel, Accounting",10,Financial Analyst
MBA,Computer Science,7.18,62.7,64.7,"Agile, Market Research, Scrum, Product Strategy, Roadmapping, Jira, Stakeholder Management",11,Product Manager
B.Com,Business,9.25,89.8,78.1,"Data Analysis, SPSS, Market Research, Excel, Research, Report Writing",7,Research Analyst
Diploma,Mechanical,8.69,70.7,91.1,"Manufacturing, CAD/CAM, Thermodynamics, Ansys, SolidWorks",9,Mechanical Engineer
MBA,Business Administration,7.29,82.8,87.5,"Onboarding, Employee Relations, Communication, Recruiting, Talent Acquisition",14,HR Manager
BA,Communications,9.56,75.1,62.4,"Copywriting, Social Media, Digital Marketing, Content Strategy",2,Marketing Specialist
BBA,Finance,8.42,60.1,66.5,"Process Improvement, Excel, SQL, Data Visualization, Power BI, Tableau",7,Business Analyst
B.Tech,Mechanical Engineering,9.41,70.4,76.4,"Manufacturing, Thermodynamics, CAD/CAM, AutoCAD, Ansys",7,Mechanical Engineer
B.Tech,Business Administration,8.44,83.8,61.9,"Market Research, Agile, Product Strategy, Jira, Scrum, Stakeholder Management",5,Product Manager
M.Tech,Electronics,8.92,90.1,67.7,"Jenkins, AWS, Linux",8,DevOps Engineer
M.Sc,Artificial Intelligence,6.91,76.7,87.1,"SQL, Pandas, TensorFlow, Statistics, Scikit-Learn",5,Data Scientist
B.Tech,Electronics,9.71,80.3,64.6,"Kubernetes, Docker, Jenkins, CI/CD, Linux",0,DevOps Engineer
M.Sc,Economics,6.22,66.2,83.8,"SAS, R, Econometrics",12,Economist
M.Com,Finance,9.22,78.0,86.7,"Taxation, GST, Finance, Advanced Excel, Tally, Accounting, Auditing",10,Accountant
BCA,Computer Science,8.45,69.4,82.8,"System Design, Data Structures, Rust, C#, C++, Go, Git",11,Software Engineer
B.Tech,CS,9.79,63.1,61.5,"Figma, Design Systems, UI/UX, Wireframing, User Testing, Adobe XD, Prototyping",0,UX Designer
M.Tech,Mechanical,9.51,60.9,86.9,"Ansys, AutoCAD, CAD/CAM, Thermodynamics, Manufacturing, SolidWorks",5,Mechanical Engineer
B.Sc,Economics,7.78,78.1,83.6,"R, SAS, Econometrics, Statistics, Data Analysis, Stata, Economic Research",5,Economist
M.Sc,Mathematics,6.61,66.3,72.4,"Market Research, Report Writing, Research, Data Analysis",8,Research Analyst
MBA,Business Administration,8.95,76.3,81.4,"Stakeholder Management, Agile, Scrum, Jira",7,Product Manager
M.Tech,AI,8.96,82.2,65.9,"Data Structures, Rust, Git, C#, C++, Java, Go, Algorithms",8,Software Engineer
M.Sc,Business,9.6,76.9,71.1,"Market Research, SPSS, Report Writing, Excel",2,Research Analyst
Diploma,Civil,6.86,81.8,90.1,"Project Management, AutoCAD, Surveying",12,Civil Engineer
Diploma,Civil Engineering,6.93,61.6,70.6,"Surveying, Project Management, STAAD Pro, AutoCAD, Estimation",6,Civil Engineer
B.Tech,Maths,9.33,84.3,91.4,"Python, Excel, Tableau, Statistics, Power BI",5,Data Analyst
B.Tech,Information Technology,7.16,63.7,60.5,"Vue, Tailwind, JavaScript, TypeScript",8,Frontend Developer
B.Tech,Civil,6.94,71.1,87.1,"AutoCAD, Estimation, Project Management",6,Civil Engineer
B.Tech,Construction Management,7.38,79.1,84.8,"Cost Estimation, MS Project, Primavera P6, Contract Management, Project Management",6,Construction Manager
B.Tech,Construction,8.88,66.7,95.1,"Surveying, Site Management, Quality Control",3,Site Engineer
MCA,AI,8.21,95.8,87.0,"Data Structures, Go, Git",12,Software Engineer
B.Sc,Mathematics,9.64,69.9,67.2,"Research, Market Research, Data Analysis, Report Writing, SPSS, Excel",12,Research Analyst
B.Tech,Marketing,9.62,82.4,76.6,"Roadmapping, Scrum, Jira, Product Strategy",1,Product Manager
M.Com,Finance,8.57,72.9,91.3,"Auditing, Finance, Advanced Excel, Taxation, Accounting",5,Accountant
MBA,Finance,9.27,76.4,62.1,"SQL, Excel, Power BI",1,Business Analyst
M.Tech,Computer Science,8.95,65.4,93.1,"Linux, Docker, Terraform, Kubernetes, Jenkins, CI/CD",11,DevOps Engineer
M.Tech,Mechanical,7.52,88.4,89.7,"CAD/CAM, Ansys, AutoCAD",6,Mechanical Engineer
BA,Education,7.07,69.9,89.3,"Lesson Planning, Curriculum Development, Public Speaking, Communication, Mentoring",10,Teaching Professional
B.Com,English,9.7,86.0,85.3,"Mentoring, Lesson Planning, Curriculum Development, Communication, Public Speaking",10,Teaching Professional
MBA,Business Administration,6.94,86.1,68.2,"Onboarding, Communication, Employee Relations, Talent Acquisition, Recruiting",3,HR Manager
M.Sc,Economics,8.64,64.1,87.0,"Data Analysis, Economic Research, Econometrics, R, Stata, Statistics, SAS",6,Economist
BA,English,9.37,88.5,87.9,"Communication, Lesson Planning, Mentoring, Public Speaking",4,Teaching Professional
B.Tech,Civil Engineering,6.34,92.8,77.0,"STAAD Pro, AutoCAD, Surveying, Project Management, Estimation, Construction Materials",12,Civil Engineer
MBA,Economics,6.3,94.0,76.1,"Digital Marketing, Social Media, Google Analytics, SEO, Copywriting, Content Strategy",7,Marketing Specialist
B.Tech,Construction Management,7.53,84.7,74.5,"Contract Management, MS Project, Cost Estimation",9,Construction Manager
B.Sc,Statistics,6.85,84.7,78.5,"Statistics, SQL, Data Visualization, Power BI, Tableau, Python, Excel",7,Data Analyst
B.Sc,Physics,8.31,97.7,80.6,"Curriculum Development, Lesson Planning, Mentoring, Communication",4,Teaching Professional
PhD,Physics,8.88,93.7,74.3,"Communication, Mentoring, Lesson Planning, Curriculum Development, Public Speaking",3,Teaching Professional
MBA,Information Technology,9.61,60.4,78.9,"Power BI, SQL, Data Visualization, Excel, Market Research, Process Improvement",8,Business Analyst
MA,Statistics,7.09,76.2,84.1,"Market Research, SPSS, Research, Data Analysis, Excel, Report Writing",1,Research Analyst
BA,CS,6.79,91.5,85.9,"Figma, UI/UX, Design Systems, User Testing, Prototyping, Adobe XD, Wireframing",1,UX Designer
MBA,Human Resources,6.07,79.8,85.0,"Employee Relations, Recruiting, Communication",6,HR Manager
MBA,Human Resources,7.28,74.5,94.7,"Recruiting, Communication, Talent Acquisition, Onboarding",5,HR Manager
M.Com,Accounting,7.3,69.5,74.8,"Tally, Accounting, Taxation",12,Accountant
BCA,Computer Science,7.27,65.0,80.4,"Tableau, Power BI, Python, Excel, SQL, Statistics",0,Data Analyst
M.Tech,AI,8.99,66.1,80.6,"Data Structures, C++, Rust, Algorithms, Go, Git, Java",2,Software Engineer
MA,English,8.72,68.9,97.8,"Lesson Planning, Curriculum Development, Mentoring, Public Speaking, Communication",12,Teaching Professional
B.Com,Information Technology,9.36,63.0,71.7,"SQL, Process Improvement, Tableau, Excel, Market Research, Power BI, Data Visualization",2,Business Analyst
B.Tech,Civil Engineering,7.28,97.2,65.8,"Project Management, Contract Management, Cost Estimation, MS Project, Primavera P6",2,Construction Manager
B.Tech,Finance,6.6,73.8,87.3,"Tableau, SQL, Process Improvement, Excel, Data Visualization, Power BI, Market Research",7,Business Analyst
Diploma,CS,6.92,63.5,85.8,"Adobe XD, Figma, User Testing, Design Systems, Wireframing, Prototyping",7,UX Designer
MCA,Computer Science,7.02,84.6,93.8,"AWS, Linux, Jenkins, CI/CD, Kubernetes, Docker, Terraform",8,DevOps Engineer
B.Tech,Civil Engineering,6.02,90.5,91.7,"Quality Control, Site Management, Health & Safety, AutoCAD, Surveying",3,Site Engineer
B.Tech,Information Technology,8.84,95.2,70.8,"Docker, CI/CD, Kubernetes",4,DevOps Engineer
B.Com,Finance,8.5,93.5,76.2,"GST, Advanced Excel, Taxation, Auditing, Tally, Accounting",2,Accountant
B.Tech,Civil Engineering,8.64,78.4,66.6,"MS Project, Primavera P6, Cost Estimation, Project Management, Contract Management",5,Construction Manager
Diploma,Mechanical,6.64,75.7,93.7,"AutoCAD, SolidWorks, Thermodynamics, Ansys, CAD/CAM, Manufacturing",6,Mechanical Engineer
B.Com,Economics,8.69,86.1,66.5,"Data Analysis, Bloomberg, Accounting, Financial Modeling, Excel, Valuation",10,Financial Analyst
MA,Economics,9.73,63.4,78.7,"Report Writing, Research, SPSS, Excel",1,Research Analyst
BA,Business Administration,7.92,65.9,84.7,"Employee Relations, Onboarding, Recruiting, Communication",8,HR Manager
B.Com,Commerce,8.52,75.9,90.3,"Taxation, GST, Advanced Excel, Accounting, Auditing",3,Accountant
MA,Economics,8.98,87.9,88.6,"Market Research, Excel, Report Writing, Data Analysis, SPSS, Research",5,Research Analyst
B.Tech,Construction Management,6.14,77.5,67.3,"Primavera P6, Contract Management, Cost Estimation, MS Project, Project Management",6,Construction Manager
MBA,Marketing,7.82,62.3,92.7,"Product Strategy, Stakeholder Management, Market Research, Jira, Scrum, Roadmapping, Agile",4,Product Manager
MBA,Human Resources,8.8,65.7,68.5,"Employee Relations, Communication, Talent Acquisition",10,HR Manager
B.Tech,Computer Science,7.22,78.1,65.7,"TensorFlow, Deep Learning, Statistics, Python, SQL, Pandas, Machine Learning",0,Data Scientist
B.Tech,Civil Engineering,8.84,64.6,81.9,"AutoCAD, Surveying, STAAD Pro, Estimation, Project Management, Construction Materials",12,Civil Engineer
B.Tech,Marketing,7.71,84.2,76.8,"Product Strategy, Jira, Market Research, Agile, Stakeholder Management, Roadmapping, Scrum",4,Product Manager
MBA,Civil Engineering,9.59,95.9,81.1,"Primavera P6, MS Project, Project Management, Contract Management, Cost Estimation",1,Construction Manager
B.Tech,Information Technology,6.07,74.1,69.4,"Wireframing, Adobe XD, UI/UX, Design Systems, Prototyping, User Testing, Figma",5,UX Designer
M.Tech,Mechanical,6.98,86.0,70.6,"Thermodynamics, AutoCAD, Manufacturing, CAD/CAM",13,Mechanical Engineer
M.Com,Finance,6.49,60.4,76.6,"Auditing, Taxation, Accounting",11,Accountant
B.Tech,Information Technology,7.69,61.8,77.4,"REST APIs, FastAPI, Django, SQL, Java",10,Backend Developer
PhD,History,8.14,88.1,62.3,"Lesson Planning, Communication, Public Speaking, Mentoring, Curriculum Development",2,Teaching Professional
B.Tech,Computer Science,9.71,79.9,70.8,"Data Analysis, SQL, NumPy, Statistics, NLP, Scikit-Learn, Pandas",1,Data Scientist
B.Com,Information Technology,7.92,67.7,94.4,"Process Improvement, SQL, Data Visualization, Power BI, Market Research",8,Business Analyst
BA,Economics,6.73,72.0,65.8,"Content Strategy, Digital Marketing, Google Analytics, Social Media, Copywriting, SEO",8,Marketing Specialist
BA,Human Resources,7.46,92.1,92.1,"Talent Acquisition, Communication, Employee Relations, Recruiting",2,HR Manager
B.Tech,Civil,7.7,72.8,93.1,"Construction Materials, Surveying, Project Management, STAAD Pro, Estimation, AutoCAD",12,Civil Engineer
B.Tech,Civil Engineering,8.15,85.5,78.5,"STAAD Pro, AutoCAD, Steel Design, ETABS",9,Structural Engineer
BA,Economics,9.5,74.6,89.1,"Econometrics, Economic Research, SAS",1,Economist
MBA,Civil,9.55,60.3,90.7,"Contract Management, Cost Estimation, MS Project, Primavera P6, Project Management",4,Construction Manager
B.Tech,Construction Management,8.32,92.2,78.4,"Cost Estimation, Contract Management, Primavera P6",2,Construction Manager
M.Com,Accounting,9.2,73.5,74.5,"Accounting, Valuation, Excel, Data Analysis",8,Financial Analyst
M.Sc,English,9.58,73.2,92.8,"Public Speaking, Curriculum Development, Mentoring, Lesson Planning",8,Teaching Professional
MA,Business,7.24,76.1,66.4,"Research, Market Research, SPSS",9,Research Analyst
B.Tech,Electronics,6.75,72.5,62.4,"Terraform, CI/CD, AWS, Docker",10,DevOps Engineer
B.Tech,Statistics,9.12,80.4,60.3,"Excel, Data Visualization, Tableau",11,Data Analyst
MCA,Information Technology,8.74,88.3,97.9,"Django, Python, MongoDB, REST APIs",8,Backend Developer
BBA,Human Resources,7.93,72.6,62.1,"Communication, Talent Acquisition, Onboarding, Employee Relations",4,HR Manager
B.Tech,Information Technology,8.46,78.9,97.2,"User Testing, Figma, Prototyping, Wireframing",6,UX Designer
BA,Human Resources,9.04,73.3,62.2,"Onboarding, Employee Relations, Recruiting, Communication, Talent Acquisition",11,HR Manager
B.Tech,Computer Science,7.58,78.3,77.9,"Statistics, Pandas, TensorFlow, NumPy",7,Data Scientist
B.Tech,Civil Engineering,8.11,91.7,97.9,"Surveying, Health & Safety, Site Management, AutoCAD, Quality Control",7,Site Engineer
BBA,Finance,6.54,84.0,69.6,"Accounting, Financial Modeling, Excel",0,Financial Analyst
Diploma,Civil Engineering,8.26,87.5,68.3,"Project Management, Estimation, Surveying, STAAD Pro, Construction Materials, AutoCAD",10,Civil Engineer
Diploma,Information Technology,9.13,83.0,69.4,"HTML, JavaScript, React, Next.js",5,Frontend Developer
B.Com,Commerce,8.8,95.9,95.7,"Accounting, Auditing, Tally",6,Accountant
M.Tech,Information Technology,9.19,88.7,61.0,"Node.js, SQL, MongoDB, Java, Python, FastAPI, PostgreSQL",15,Backend Developer
B.Tech,Mechanical Engineering,8.57,97.5,96.6,"Manufacturing, Thermodynamics, SolidWorks, Ansys, CAD/CAM, AutoCAD",7,Mechanical Engineer
B.Tech,Information Technology,7.49,65.8,71.1,"Wireframing, Prototyping, UI/UX, Figma",1,UX Designer
M.Com,Accounting,6.57,61.0,84.9,"Bloomberg, Financial Modeling, Data Analysis, Valuation, Accounting, Excel",2,Financial Analyst
MBA,Civil,6.34,91.1,73.4,"Cost Estimation, Project Management, Primavera P6, MS Project, Contract Management",15,Construction Manager
M.Tech,Information Technology,9.8,63.2,84.5,"GraphQL, MongoDB, SQL",15,Backend Developer
B.Sc,Information Technology,8.39,84.6,75.0,"Prototyping, Wireframing, UI/UX, Adobe XD, Design Systems, User Testing, Figma",5,UX Designer
M.Com,Commerce,8.74,71.6,92.5,"Finance, Accounting, Tally",15,Accountant
BCA,Computer Science,7.52,68.2,79.6,"Data Visualization, Python, Excel, Tableau",9,Data Analyst
MA,Economics,7.75,90.4,84.4,"SAS, Econometrics, Stata, Statistics, R, Economic Research, Data Analysis",0,Economist
MCA,Information Technology,7.0,81.1,95.3,"Java, Node.js, GraphQL",2,Backend Developer
BA,Economics,7.68,75.7,81.8,"Stata, SAS, R",3,Economist
Diploma,Mechanical,7.42,86.5,86.5,"Thermodynamics, AutoCAD, Ansys",2,Mechanical Engineer
MBA,Marketing,6.41,82.4,97.3,"Stakeholder Management, Scrum, Product Strategy, Market Research, Roadmapping, Jira, Agile",12,Product Manager
BA,Human Resources,8.44,75.8,92.7,"Talent Acquisition, Recruiting, Communication",1,HR Manager
M.Tech,Civil Engineering,8.38,80.7,97.1,"STAAD Pro, Estimation, Surveying, AutoCAD, Project Management, Construction Materials",14,Civil Engineer
BBA,Communications,8.27,92.0,97.7,"Copywriting, Google Analytics, SEO",9,Marketing Specialist
BBA,Human Resources,6.1,67.4,91.6,"Talent Acquisition, Employee Relations, Recruiting",7,HR Manager
BBA,Human Resources,7.29,64.0,73.0,"Communication, Employee Relations, Talent Acquisition, Recruiting, Onboarding",2,HR Manager
M.Tech,Information Technology,6.56,72.8,78.1,"Rust, Go, C++, Git, Python, C#, Data Structures",1,Software Engineer
BBA,Business Administration,9.7,97.8,95.7,"Onboarding, Employee Relations, Recruiting",2,HR Manager
B.Tech,Computer Science,8.06,68.2,78.5,"Node.js, Docker, FastAPI, Django, PostgreSQL, Python",9,Backend Developer
BA,Physics,6.49,80.8,71.7,"Mentoring, Public Speaking, Lesson Planning",5,Teaching Professional
M.Com,Accounting,8.67,93.2,66.4,"Taxation, Tally, GST",14,Accountant
MCA,Electronics,6.3,97.3,69.9,"Linux, Kubernetes, Terraform, Docker, AWS, Jenkins",2,DevOps Engineer
B.Tech,Business Administration,9.41,63.2,76.9,"Stakeholder Management, Roadmapping, Agile, Scrum, Market Research, Product Strategy, Jira",0,Product Manager
B.Com,Statistics,7.41,85.0,83.9,"Power BI, SQL, Excel",4,Data Analyst
M.Sc,Economics,7.84,66.0,80.0,"Economic Research, Econometrics, Stata, R, Statistics",14,Economist
BBA,Economics,9.43,78.1,64.2,"Accounting, Valuation, Excel, Bloomberg, Financial Modeling, Data Analysis",0,Financial Analyst
BCA,Mathematics,7.31,95.6,60.8,"Python, Data Visualization, Excel, SQL",0,Data Analyst
M.Tech,Electronics,9.71,85.5,65.0,"Jenkins, AWS, Terraform, Kubernetes, CI/CD, Docker, Linux",1,DevOps Engineer
MCA,Computer Science,7.98,88.8,66.1,"Linux, Jenkins, Kubernetes",15,DevOps Engineer
B.Sc,CS,8.04,94.8,88.3,"User Testing, UI/UX, Prototyping, Adobe XD, Figma",4,UX Designer
B.Tech,Computer Science,7.22,67.3,70.5,"Jenkins, Terraform, Kubernetes, AWS, Linux, Docker, CI/CD",5,DevOps Engineer
B.Tech,Computer Science,8.53,84.5,85.8,"Jira, Roadmapping, Market Research, Product Strategy, Agile, Stakeholder Management, Scrum",2,Product Manager
B.Com,Business Administration,7.62,72.2,88.7,"Excel, Tableau, SQL, Market Research",8,Business Analyst
BBA,Information Technology,9.75,62.1,60.5,"Market Research, Power BI, Tableau, SQL, Data Visualization, Process Improvement, Excel",10,Business Analyst
B.Com,Statistics,8.93,76.9,90.8,"Power BI, Statistics, SQL",10,Data Analyst
MBA,Business Administration,6.05,66.1,63.5,"Jira, Market Research, Product Strategy, Agile, Roadmapping, Scrum",15,Product Manager
BBA,Human Resources,9.38,66.5,75.7,"Talent Acquisition, Employee Relations, Communication, Onboarding, Recruiting",7,HR Manager
M.Sc,Mathematics,6.03,75.3,80.6,"Data Analysis, Report Writing, Excel, Market Research, SPSS",1,Research Analyst
B.Tech,Civil,7.6,96.8,60.5,"MS Project, Project Management, Primavera P6, Cost Estimation, Contract Management",0,Construction Manager
BA,Economics,6.31,90.4,81.0,"Report Writing, Data Analysis, Excel, SPSS",7,Research Analyst
M.Sc,Computer Science,6.41,61.0,71.9,"Scikit-Learn, Data Analysis, Machine Learning, NumPy, Statistics",15,Data Scientist
